event_id,incident_date,incident_time,site,department,shift,incident_type,description,injury_outcome,recordable,lost_time,near_miss,potential_sif,severity,frequency,critical_control_verified,inspection_completion_rate,training_compliance_pct,exposure_hours,latitude,longitude,risk_score
HSE-1001,2026-01-01,07:00,Depot B,Maintenance,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Depot B during day shift.,First Aid,True,True,False,False,3,3,True,71.0,82.5,859,41.8781,-87.6298,9
HSE-1002,2026-01-02,23:10,Depot B,Utilities,Night,Slip / Trip,Worker slipped near transfer walkway at Depot B during night shift. Credible worst case could be life-altering.,First Aid,True,True,False,True,4,4,False,84.4,96.8,1136,41.8781,-87.6298,16
HSE-1003,2026-01-03,12:20,Depot A,Operations,Day,Manual Handling,Manual Handling event reported at Depot A during day shift.,Medical Treatment,True,False,False,False,2,3,True,81.8,95.4,1386,39.7392,-104.9903,6
HSE-1004,2026-01-03,12:20,Depot B,Utilities,Day,Fall From Height,Elevated work task had incomplete edge protection at Depot B.,First Aid,True,True,False,False,5,4,True,85.2,98.3,1308,41.8781,-87.6298,20
HSE-1005,2026-01-03,15:00,Plant C,Operations,Day,Slip / Trip,Worker slipped near transfer walkway at Plant C during day shift.,Medical Treatment,True,False,False,False,2,5,True,84.0,98.6,1046,29.7604,-95.3698,10
HSE-1006,2026-01-03,15:10,Warehouse D,Utilities,Day,Struck By,Struck By event reported at Warehouse D during day shift.,First Aid,False,False,False,False,1,1,True,88.0,87.6,876,33.4484,-112.074,1
HSE-1007,2026-01-04,07:30,Depot B,Operations,Day,Near Miss,Near Miss event reported at Depot B during day shift.,Near Miss,False,False,True,False,0,4,True,81.8,86.4,985,41.8781,-87.6298,0
HSE-1008,2026-01-04,17:20,Plant C,Logistics,Day,Equipment Contact,Equipment Contact event reported at Plant C during day shift.,Medical Treatment,True,False,False,False,2,4,True,100.0,83.5,930,29.7604,-95.3698,8
HSE-1009,2026-01-04,08:10,Warehouse D,Logistics,Day,Slip / Trip,Worker slipped near transfer walkway at Warehouse D during day shift.,Medical Treatment,True,False,False,False,2,2,True,84.6,97.5,1143,33.4484,-112.074,4
HSE-1010,2026-01-04,15:00,Terminal E,Operations,Day,Fall From Height,Elevated work task had incomplete edge protection at Terminal E.,Medical Treatment,True,False,False,False,3,5,True,59.3,91.2,1156,34.0522,-118.2437,15
HSE-1011,2026-01-06,00:50,Warehouse D,Logistics,Night,Near Miss,Near Miss event reported at Warehouse D during night shift.,Near Miss,False,False,True,False,0,2,True,82.6,94.2,1294,33.4484,-112.074,0
HSE-1012,2026-01-07,23:10,Warehouse D,Operations,Night,Chemical Exposure,Chemical Exposure event reported at Warehouse D during night shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,4,5,True,100.0,91.0,1091,33.4484,-112.074,20
HSE-1013,2026-01-08,14:50,Depot B,Operations,Day,Struck By,Struck By event reported at Depot B during day shift.,Lost Time,True,False,False,False,3,1,True,89.7,94.9,989,41.8781,-87.6298,3
HSE-1014,2026-01-08,12:20,Terminal E,Maintenance,Day,Slip / Trip,Worker slipped near transfer walkway at Terminal E during day shift.,Restricted Work,False,False,False,False,1,4,True,93.3,89.3,870,34.0522,-118.2437,4
HSE-1015,2026-01-09,07:50,Depot A,Logistics,Day,Slip / Trip,Worker slipped near transfer walkway at Depot A during day shift.,First Aid,True,True,False,False,4,4,True,56.2,91.9,1008,39.7392,-104.9903,16
HSE-1016,2026-01-09,00:50,Depot B,Utilities,Night,Vehicle Interaction,Pedestrian entered forklift travel path at Depot B during night shift.,Lost Time,False,False,False,False,1,2,True,100.0,98.7,906,41.8781,-87.6298,2
HSE-1017,2026-01-10,09:40,Terminal E,Logistics,Day,Chemical Exposure,Chemical Exposure event reported at Terminal E during day shift.,First Aid,True,False,False,False,3,2,True,80.8,93.5,1210,34.0522,-118.2437,6
HSE-1018,2026-01-11,02:40,Depot A,Logistics,Night,Manual Handling,Manual Handling event reported at Depot A during night shift.,First Aid,True,False,False,False,3,5,True,64.5,88.6,1383,39.7392,-104.9903,15
HSE-1019,2026-01-11,02:40,Terminal E,Maintenance,Night,Slip / Trip,Worker slipped near transfer walkway at Terminal E during night shift.,Medical Treatment,False,False,False,False,1,3,True,90.6,91.8,1193,34.0522,-118.2437,3
HSE-1020,2026-01-12,23:50,Plant C,Logistics,Night,Manual Handling,Manual Handling event reported at Plant C during night shift.,Restricted Work,True,True,False,False,4,3,True,77.8,93.1,1067,29.7604,-95.3698,12
HSE-1021,2026-01-12,11:50,Warehouse D,Operations,Day,Slip / Trip,Worker slipped near transfer walkway at Warehouse D during day shift.,Restricted Work,True,False,False,False,2,2,True,53.1,89.2,1104,33.4484,-112.074,4
HSE-1022,2026-01-13,00:30,Depot A,Operations,Night,Slip / Trip,Worker slipped near transfer walkway at Depot A during night shift.,Restricted Work,True,True,False,False,4,3,False,90.0,83.9,1169,39.7392,-104.9903,12
HSE-1023,2026-01-13,09:20,Depot B,Operations,Day,Fall From Height,Elevated work task had incomplete edge protection at Depot B.,Restricted Work,True,False,False,False,3,4,True,90.6,88.0,1169,41.8781,-87.6298,12
HSE-1024,2026-01-14,01:20,Depot B,Operations,Night,Slip / Trip,Worker slipped near transfer walkway at Depot B during night shift.,Restricted Work,False,False,False,False,1,3,True,83.3,98.9,1118,41.8781,-87.6298,3
HSE-1025,2026-01-14,09:00,Plant C,Operations,Day,Manual Handling,Manual Handling event reported at Plant C during day shift.,Restricted Work,False,False,False,False,1,3,True,93.8,87.2,913,29.7604,-95.3698,3
HSE-1026,2026-01-16,17:40,Depot A,Operations,Day,Equipment Contact,Equipment Contact event reported at Depot A during day shift. Credible worst case could be life-altering.,First Aid,True,False,False,True,3,1,False,100.0,87.6,906,39.7392,-104.9903,3
HSE-1027,2026-01-16,01:40,Depot B,Operations,Night,Struck By,Struck By event reported at Depot B during night shift.,Medical Treatment,False,False,False,False,1,1,True,100.0,95.9,1336,41.8781,-87.6298,1
